gameId,teamId,id,name,2nd_assists,assists,goals,blocks,tas,drops,touches
49212,9669,40513,Heidi Siu,1,1,0,0,2,0,11
49212,9669,54445,Cora McLandress,0,0,1,0,0,0,4
49212,9669,49336,Joyce Ma,0,0,0,1,0,0,8
49212,9669,51167,Patrick Russell,0,1,0,1,3,0,8
49212,9676,59479,Vivien Yuen,0,0,1,1,1,0,10
49212,9676,46912,Meagan Newman,1,3,1,1,0,0,15
49212,9676,47641,Sanjay Parker,2,0,1,2,5,0,16
49212,9676,44057,Daniel Quinto,1,3,1,3,2,0,7
49212,9676,27883,Daniel Eisner,1,1,0,0,0,0,7
49212,9676,47391,Anita C Benoit,0,1,3,1,2,1,2
49212,9676,43589,Jon Brandt,2,2,1,1,1,0,5
49212,9676,50848,Michael Pham-Hung,0,1,0,2,6,1,7
49212,9676,40643,Cj Jackson,2,1,0,0,2,1,11
49212,9676,58151,Arthur Chu,0,1,1,2,3,0,10
49212,9676,24893,Helen O'Sullivan,2,1,1,0,1,0,7
49212,9676,52025,Cielle Garbe,0,0,3,0,0,0,2
49212,9676,59699,Gary Poon,0,2,3,4,3,0,8
49212,9676,61282,Kiki Duembgen,0,1,1,0,1,2,5
49211,9668,46071,Rick St Jean,0,0,3,1,1,0,6
49211,9668,52447,Lucas Meilach-Boston,2,1,3,1,2,1,8
49211,9668,35684,Chris Loat,1,6,1,3,6,0,13
49211,9668,61290,Maggie Chen,2,2,4,2,2,0,8
49211,9668,37340,Caterina Cazzetta,1,0,0,0,1,0,8
49211,9668,60752,Jj Gerstein,3,0,1,0,3,0,4
49211,9668,45796,Benjamin St.Louis,2,6,0,3,0,0,13
49211,9668,42973,Carolina Vargas,1,2,0,0,3,1,16
49211,9668,58959,Ivan Ho,1,2,1,2,0,1,11
49211,9668,24180,Diane Pendlebury,0,0,0,0,1,1,9
49211,9668,61934,Alysha Fontaine,1,0,3,1,0,0,4
49211,9668,61407,Evelyn Wang,0,1,2,0,0,0,1
49211,9668,45460,David Yu,2,2,1,1,0,0,8
49211,9668,62208,Mika Young,2,0,3,0,0,0,1
49211,9677,61149,Alec Zhao,0,0,2,0,1,0,3
49211,9677,45782,Brittany Heath,1,1,0,0,1,0,8
49211,9677,41034,Dawn Man,0,1,0,0,1,0,7
49211,9677,35391,Max Goodman-Coop,1,1,3,0,4,0,12
49211,9677,43539,Nicolas Zuniga,1,5,1,0,3,0,14
49211,9677,55843,Randy Vo,1,1,2,1,2,0,11
49211,9677,41947,Jennifer Law,1,0,2,0,3,1,3
49211,9677,45668,R.t. Lechow,2,2,0,1,0,0,13
49211,9677,61498,Keith Lester Banzuela,4,3,2,2,1,0,4
49211,9677,28589,Vikki Shimoda,0,0,3,1,1,0,7
49211,9677,45504,Alyne Azucena,1,3,1,2,3,0,5
49211,9677,41611,Nancy Warren,0,1,3,0,0,0,2
49211,9677,61159,Wendy Li,0,2,0,0,0,1,2
49211,9677,60904,Marco Chu,1,0,1,1,0,0,9
49215,9673,40513,Heidi Siu,3,1,0,0,2,0,16
49215,9673,35490,Marc Hodges,2,2,3,2,1,1,13
49215,9673,45504,Alyne Azucena,1,3,0,0,4,1,5
49215,9673,54763,Clara Narimatsu Dinh,0,0,2,1,0,0,3
